PERIOD,DIVISION_NAME,DEPT_GROUP_NAME,SALE_AMT,SALE_QTY,SALE_AMT_LY,SALE_QTY_LY
202601,01 HARD LINE,0112 MAJOR APPLIANCE,491811.21,87.0,615988.79,118.0
202602,04 DRY FOOD,0422 SWEETED GROCE.2_SME,4132.71,151.0,3657.95,163.0
202603,04 DRY FOOD,0420 SWEETED GROCE.2,16345.81,364.0,13118.72,277.0
202603,06 PHARMACY,0630 WELL BEING,1559.81,15.0,933.64,6.0
202604,04 DRY FOOD,0450 LIQUOR,923958.2,3956.0,1707664.74,3399.0
202602,04 DRY FOOD,0432 SALTED GROCERY_SME,7472.88,243.0,4653.25,152.0
202602,03 SOFT LINE,0350 FOOTWEAR,209809.31,1168.0,201611.66,1305.0
202602,02 HOME LINE,0240 HOME IMPROVEMEN,113571.02,1057.0,166218.24,1509.0
202603,02 HOME LINE,0290 PACKAGING,24212.15,4225.0,23762.15,3390.0
202607,05 FRESH FOOD,0520 SEAFOOD,10325.23,64.82,7577.25,65.5
202607,02 HOME LINE,0250 STATIONERY & EDUTAINMENT,3998.13,82.0,3587.88,68.0
202601,01 HARD LINE,0110 SMALL APPLIANCE,737512.2,1279.0,805535.48,1297.0
202607,05 FRESH FOOD,0540 DELICATESSEN,9867.52,263.79,6257.24,155.33
202605,04 DRY FOOD,0420 SWEETED GROCE.2,951961.64,29806.0,1002157.48,32798.0
202607,06 PHARMACY,0610 PRESCRIPTION,0.0,0.0,0.0,0.0
202602,01 HARD LINE,0160 MOBILE AND IT,94751.4,96.0,214098.32,129.0
202607,04 DRY FOOD,0410 SWEETED GROCE.1,35464.52,199.0,32103.74,278.0
202601,06 PHARMACY,0640 HERBAL PREPARATION,0.0,0.0,54.21,1.0
202607,03 SOFT LINE,0370 PERSONAL CARE,802.81,42.0,542.99,14.0
202602,04 DRY FOOD,0430 SALTED GROCERY,5302.34,59.0,6894.39,62.0
202601,05 FRESH FOOD,0570 FROZEN,170659.52,3049.0,200482.03,3048.0
202606,05 FRESH FOOD,0520 SEAFOOD,0.0,0.0,0.0,0.0
202602,03 SOFT LINE,0312 LADIES ACCESSORIES,17310.27,129.0,27809.83,233.0
202607,04 DRY FOOD,0440 BEVERAGE,0.0,0.0,189.72,4.0
202606,03 SOFT LINE,0320 MEN'S APPAREL,124799.97,436.0,40038.3,167.0
202604,01 HARD LINE,0120 HOME ENTERTAIN,385277.57,117.0,467257.95,130.0
202604,05 FRESH FOOD,0510 BUTCHERY,1660737.54,16154.19,1739255.16,17068.35
202602,04 DRY FOOD,0440 BEVERAGE,3518.69,82.0,1525.24,34.0
202601,03 SOFT LINE,0320 MEN'S APPAREL,112679.43,411.0,96927.07,455.0
202606,02 HOME LINE,0220 HOME DECOR,197400.88,916.0,215873.79,1087.0
202605,05 FRESH FOOD,0510 BUTCHERY,1694881.01,17507.5,1670597.02,16398.0
202603,04 DRY FOOD,0440 BEVERAGE,3459.82,82.0,3199.07,74.0
202602,03 SOFT LINE,0320 MEN'S APPAREL,240840.18,491.0,78169.07,369.0
202607,02 HOME LINE,0220 HOME DECOR,3958.88,24.0,4444.86,15.0
202603,03 SOFT LINE,0312 LADIES ACCESSORIES,24602.79,125.0,37461.91,333.0
202607,03 SOFT LINE,0320 MEN'S APPAREL,3241.12,11.0,2113.08,9.0
202605,01 HARD LINE,0120 HOME ENTERTAIN,293560.75,92.0,299738.88,105.0
202602,03 SOFT LINE,0314 LADIES ESSENTIAL,125294.75,813.0,125093.62,703.0
202603,04 DRY FOOD,0430 SALTED GROCERY,7639.26,91.0,9618.69,75.0
202602,05 FRESH FOOD,0570 FROZEN,154079.61,2860.0,187264.78,3243.0
202607,05 FRESH FOOD,0520 SEAFOOD,0.0,0.0,0.0,0.0
202602,06 PHARMACY,0640 HERBAL PREPARATION,0.0,0.0,0.0,0.0
202603,01 HARD LINE,0160 MOBILE AND IT,91797.2,85.0,188790.65,121.0
202601,02 HOME LINE,0220 HOME DECOR,251074.75,1062.0,267773.29,1001.0
202601,05 FRESH FOOD,0540 DELICATESSEN,1190.66,57.0,1100.94,42.0
202607,03 SOFT LINE,0314 LADIES ESSENTIAL,1870.1,81.0,997.2,9.0
202607,05 FRESH FOOD,0570 FROZEN,3921.08,71.0,5220.57,102.0
202602,04 DRY FOOD,0430 SALTED GROCERY,2200949.68,45786.0,2583353.66,51870.0
202603,05 FRESH FOOD,0550 BAKERY,198042.07,9470.0,164993.44,7632.0
202605,05 FRESH FOOD,0530 PRODUCE,0.0,0.0,0.0,0.0
202606,04 DRY FOOD,0442 BEVERAGE_SME,15.89,1.0,8698.13,258.0
202601,03 SOFT LINE,0314 LADIES ESSENTIAL,111562.59,789.0,106738.12,560.0
202606,06 PHARMACY,0620 OVER THE COUNTER,1829.9,46.0,1966.35,46.0
202602,04 DRY FOOD,0420 SWEETED GROCE.2,877556.02,24804.0,917377.08,27070.0
202604,05 FRESH FOOD,0520 SEAFOOD,339939.68,2182.48,301377.74,2649.83
202607,05 FRESH FOOD,0530 PRODUCE,13272.2,341.72,9191.33,300.41
202604,02 HOME LINE,0250 STATIONERY & EDUTAINMENT,168120.48,2854.0,312416.14,3172.0
202601,04 DRY FOOD,0460 HBA,1576815.21,18684.0,2982075.84,19502.0
202607,04 DRY FOOD,0422 SWEETED GROCE.2_SME,117.76,5.0,35.51,2.0
202604,05 FRESH FOOD,0540 DELICATESSEN,308369.86,9923.2,249122.46,6497.21
202602,05 FRESH FOOD,0520 SEAFOOD,0.0,0.0,0.0,0.0
202605,01 HARD LINE,0160 MOBILE AND IT,92690.65,88.0,161563.51,127.0
202601,05 FRESH FOOD,0530 PRODUCE,0.0,0.0,0.0,0.0
202604,06 PHARMACY,0640 HERBAL PREPARATION,0.0,0.0,27.1,1.0
202602,05 FRESH FOOD,0560 PERISHABLE,5595.32,151.0,6084.13,195.0
202604,05 FRESH FOOD,0560 PERISHABLE,920182.54,15683.0,1026226.19,18973.0
202607,03 SOFT LINE,0350 FOOTWEAR,3891.6,110.0,4468.22,24.0
202604,04 DRY FOOD,0496 SPECIAL PROJECT,3973.83,8.0,0.0,0.0
202606,01 HARD LINE,0110 SMALL APPLIANCE,613185.94,1009.0,633970.79,871.0
202606,04 DRY FOOD,0440 BEVERAGE,2780675.41,35740.0,2140804.9,37462.0
202601,01 HARD LINE,0160 MOBILE AND IT,68690.66,93.0,195789.82,134.0
202604,06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,649.53,3.0,1675.7,14.0
202601,03 SOFT LINE,0322 MEN ESSENTIAL,40103.77,373.0,50075.96,373.0
202601,04 DRY FOOD,0410 SWEETED GROCE.1,1572491.49,9109.0,1747040.55,9455.0
202605,04 DRY FOOD,0430 SALTED GROCERY,2454913.55,51425.0,3167301.69,64355.0
202603,03 SOFT LINE,0310 LADIES APPAREL,90927.08,263.0,49902.77,243.0
202606,05 FRESH FOOD,0550 BAKERY,198282.48,9639.0,165692.21,8215.0
202602,02 HOME LINE,0230 RECREATION,111087.83,577.0,120630.83,489.0
202601,03 SOFT LINE,0370 PERSONAL CARE,18811.2,378.0,19836.45,436.0
202601,03 SOFT LINE,0340 BABY ACCESSORIES,41299.06,419.0,53181.33,557.0
202604,04 DRY FOOD,0460 HBA,1758682.69,21856.0,1820701.58,21633.0
202601,06 PHARMACY,0610 PRESCRIPTION,0.0,0.0,0.0,0.0
